Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
IDN,2006-02-01,2006-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,44.191369,X,base year is 2015
IDN,2007-02-01,2007-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,48.974045,X,base year is 2015
IDN,2008-02-01,2008-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,54.938736,X,base year is 2015
IDN,2009-02-01,2009-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,,61.981150,X,base year is 2015
IDN,2010-02-01,2010-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,,64.951073,X,base year is 2015
IDN,2011-02-01,2011-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,74.566103,X,base year is 2015
IDN,2012-02-01,2012-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,76.706643,X,base year is 2015
IDN,2013-02-01,2013-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,84.264921,X,base year is 2015
IDN,2014-02-01,2014-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,92.374980,X,base year is 2015
IDN,2015-02-01,2015-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,98.211410,X,base year is 2015
IDN,2016-02-01,2016-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,105.555780,X,base year is 2015
IDN,2017-02-01,2017-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,110.243675,X,base year is 2015
IDN,2018-02-01,2018-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,,113.993991,X,base year is 2015
IDN,2019-02-01,2019-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,,114.775307,X,base year is 2015
